Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.11,0,0.6515400022898327056268057108,0.651540002289833,0.651540002289833,0.651540002289833,0.651540002289833,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,5662823
0.12,0,0.6503726990694421238489362797,0.650372699069442,0.650372699069442,0.650372699069442,0.650372699069442,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,6177625
0.13,0,0.6492473692267587079693178206,0.649247369226759,0.649247369226759,0.649247369226759,0.649247369226759,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,6692427
0.14,0,0.6481673755243262350857515243,0.648167375524326,0.648167375524326,0.648167375524326,0.648167375524326,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,7207229
0.15,0,0.6471333354255945789300938989,0.647133335425595,0.647133335425595,0.647133335425595,0.647133335425595,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,7722032
0.16,0,0.6461443605376659704189911451,0.646144360537666,0.646144360537666,0.646144360537666,0.646144360537666,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,8236833
0.17,0,0.6451987386107891142531140946,0.645198738610789,0.645198738610789,0.645198738610789,0.645198738610789,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,8751636
0.18,0,0.6442943689231755669847986744,0.644294368923176,0.644294368923176,0.644294368923176,0.644294368923176,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,9266438
0.19,0,0.6434289818299631297315279298,0.643428981829963,0.643428981829963,0.643428981829963,0.643428981829963,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,9781239
0.20,0,0.6426002821020365534104784450,0.642600282102036,0.642600282102036,0.642600282102036,0.642600282102036,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,10296040
0.21,0,0.6418060332942581385120513369,0.641806033294258,0.641806033294258,0.641806033294258,0.641806033294258,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,10810840
0.22,0,0.6410440804277222812665157566,0.641044080427722,0.641044080427722,0.641044080427722,0.641044080427722,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,11325650
0.23,0,0.6403124352414746782582872908,0.640312435241475,0.640312435241475,0.640312435241475,0.640312435241475,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,11840450
0.24,0,0.6396091945544256795194032462,0.639609194554426,0.639609194554426,0.639609194554426,0.639609194554426,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,12355250
0.25,0,0.6389326009406844158869585953,0.638932600940684,0.638932600940684,0.638932600940684,0.638932600940684,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,12870050
