Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
8.66,0,0.5650142757,0.4708452297,0.4708452297,0.4708452297,0.4708452297,0,0,0,0,6.836047452,52.07458794,51.19294674,445818600
8.67,0,0.5648569981,0.4707141651,0.4707141651,0.4707141651,0.4707141651,0,0,0,0,6.832464725,52.06451971,51.1845426,446333400
8.68,0,0.5647001407,0.4705834505,0.4705834505,0.4705834505,0.4705834505,0,0,0,0,6.828888803,52.05444819,51.17613848,446848200
8.69,0,0.5645436929,0.4704530775,0.4704530775,0.4704530775,0.4704530775,0,0,0,0,6.825319907,52.04439482,51.16775132,447363000
8.7,0,0.5643876643,0.4703230536,0.4703230536,0.4703230536,0.4703230536,0,0,0,0,6.821759315,52.03435161,51.159375,447877800
8.71,0,0.5642320316,0.4701933596,0.4701933596,0.4701933596,0.4701933596,0,0,0,0,6.818205954,52.02432151,51.15101166,448392600
8.72,0,0.5640768151,0.4700640126,0.4700640126,0.4700640126,0.4700640126,0,0,0,0,6.814658263,52.01428782,51.14264797,448907400
8.73,0,0.5639220165,0.4699350138,0.4699350138,0.4699350138,0.4699350138,0,0,0,0,6.811119102,52.0042796,51.13430717,449422200
8.74,0,0.5637676104,0.469806342,0.469806342,0.469806342,0.469806342,0,0,0,0,6.807586809,51.9942692,51.12596726,449937000
8.75,0,0.5636136183,0.4696780152,0.4696780152,0.4696780152,0.4696780152,0,0,0,0,6.804062475,51.98427677,51.11764427,450451800
8.76,0,0.5634600174,0.4695500145,0.4695500145,0.4695500145,0.4695500145,0,0,0,0,6.800544245,51.9742927,51.10933037,450966600
8.77,0,0.5633068181,0.4694223484,0.4694223484,0.4694223484,0.4694223484,0,0,0,0,6.797033008,51.96431228,51.10102196,451481400
8.78,0,0.5631540307,0.4692950256,0.4692950256,0.4692950256,0.4692950256,0,0,0,0,6.793529044,51.95433532,51.09271893,451996200
8.79,0,0.5630016425,0.4691680354,0.4691680354,0.4691680354,0.4691680354,0,0,0,0,6.79003303,51.94438328,51.08443825,452511000
8.8,0,0.5628496409,0.4690413674,0.4690413674,0.4690413674,0.4690413674,0,0,0,0,6.786542887,51.93442762,51.07615718,453025900
8.81,0,0.5626980379,0.4689150316,0.4689150316,0.4689150316,0.4689150316,0,0,0,0,6.783061089,51.9244927,51.06789523,453540700
8.82,0,0.5625468317,0.4687890265,0.4687890265,0.4687890265,0.4687890265,0,0,0,0,6.779585037,51.91455448,51.05963311,454055400
8.83,0,0.5623960335,0.4686633613,0.4686633613,0.4686633613,0.4686633613,0,0,0,0,6.776117138,51.90463686,51.05138997,454570200
8.84,0,0.5622456063,0.4685380052,0.4685380052,0.4685380052,0.4685380052,0,0,0,0,6.772656361,51.89473136,51.04315896,455085100
8.85,0,0.5620955726,0.4684129772,0.4684129772,0.4684129772,0.4684129772,0,0,0,0,6.769201294,51.88482494,51.03492966,455599900
8.86,0,0.5619459341,0.4682882784,0.4682882784,0.4682882784,0.4682882784,0,0,0,0,6.765754564,51.87493742,51.02671799,456114600
8.87,0,0.5617966751,0.4681638959,0.4681638959,0.4681638959,0.4681638959,0,0,0,0,6.762313712,51.86505417,51.01851212,456629400
8.88,0,0.5616478074,0.4680398395,0.4680398395,0.4680398395,0.4680398395,0,0,0,0,6.758879671,51.85517341,51.01031077,457144300
8.89,0,0.5614993309,0.4679161091,0.4679161091,0.4679161091,0.4679161091,0,0,0,0,6.755452731,51.84530721,51.00212346,457659100
8.9,0,0.5613512335,0.4677926945,0.4677926945,0.4677926945,0.4677926945,0,0,0,0,6.7520337,51.8354549,50.99394976,458173800
8.91,0,0.5612035114,0.4676695929,0.4676695929,0.4676695929,0.4676695929,0,0,0,0,6.748620767,51.82561146,50.9857855,458688600
8.92,0,0.5610561775,0.4675468146,0.4675468146,0.4675468146,0.4675468146,0,0,0,0,6.745214858,51.81577604,50.97763011,459203500
8.93,0,0.5609092193,0.4674243494,0.4674243494,0.4674243494,0.4674243494,0,0,0,0,6.741814719,51.80594066,50.96947718,459718300
8.94,0,0.560762648,0.4673022066,0.4673022066,0.4673022066,0.4673022066,0,0,0,0,6.7384226,51.79612415,50.96134175,460233100
8.95,0,0.560616439,0.4671803659,0.4671803659,0.4671803659,0.4671803659,0,0,0,0,6.735037429,51.78632122,50.95321955,460747900
8.96,0,0.5604706029,0.4670588357,0.4670588357,0.4670588357,0.4670588357,0,0,0,0,6.731658203,51.77652189,50.94510261,461262700
8.97,0,0.5603251494,0.4669376245,0.4669376245,0.4669376245,0.4669376245,0,0,0,0,6.728285868,51.76673588,50.93699867,461777500
8.98,0,0.5601800809,0.4668167341,0.4668167341,0.4668167341,0.4668167341,0,0,0,0,6.724920492,51.7569504,50.92889769,462292300
8.99,0,0.5600353689,0.4666961407,0.4666961407,0.4666961407,0.4666961407,0,0,0,0,6.721562103,51.74718402,50.92081424,462807100
9,0,0.5598910158,0.4665758465,0.4665758465,0.4665758465,0.4665758465,0,0,0,0,6.718209407,51.73741968,50.91273479,463321900
9.01,0,0.5597470551,0.4664558793,0.4664558793,0.4664558793,0.4664558793,0,0,0,0,6.714864812,51.7276711,50.90467038,463836700
9.02,0,0.5596034509,0.4663362091,0.4663362091,0.4663362091,0.4663362091,0,0,0,0,6.711526034,51.71793146,50.89661539,464351500
9.03,0,0.5594602134,0.4662168445,0.4662168445,0.4662168445,0.4662168445,0,0,0,0,6.708194344,51.70820079,50.88856998,464866300
9.04,0,0.5593173424,0.4660977853,0.4660977853,0.4660977853,0.4660977853,0,0,0,0,6.704868412,51.69847001,50.88052685,465381100
9.05,0,0.5591748249,0.4659790207,0.4659790207,0.4659790207,0.4659790207,0,0,0,0,6.701550218,51.68876788,50.87250883,465895900
9.06,0,0.5590326838,0.4658605698,0.4658605698,0.4658605698,0.4658605698,0,0,0,0,6.698238035,51.6790597,50.86448846,466410700
9.07,0,0.5588908947,0.4657424123,0.4657424123,0.4657424123,0.4657424123,0,0,0,0,6.694932803,51.66936599,50.85648196,466925500
9.08,0,0.5587494683,0.4656245569,0.4656245569,0.4656245569,0.4656245569,0,0,0,0,6.691633431,51.65967694,50.84848148,467440300
9.09,0,0.5586084055,0.4655070046,0.4655070046,0.4655070046,0.4655070046,0,0,0,0,6.688340733,51.65000609,50.84049776,467955100
9.1,0,0.5584676907,0.4653897422,0.4653897422,0.4653897422,0.4653897422,0,0,0,0,6.685055,51.64034085,50.83252094,468469900
9.11,0,0.5583273372,0.465272781,0.465272781,0.465272781,0.465272781,0,0,0,0,6.68177522,51.63068326,50.82455248,468984700
9.12,0,0.5581873443,0.4651561202,0.4651561202,0.4651561202,0.4651561202,0,0,0,0,6.678502062,51.62103573,50.81659438,469499500
9.13,0,0.558047686,0.4650397384,0.4650397384,0.4650397384,0.4650397384,0,0,0,0,6.675235971,51.61139875,50.80864705,470014300
9.14,0,0.5579083991,0.464923666,0.464923666,0.464923666,0.464923666,0,0,0,0,6.671975488,51.60176933,50.80070798,470529100
9.15,0,0.5577694572,0.464807881,0.464807881,0.464807881,0.464807881,0,0,0,0,6.668722112,51.59215076,50.79277991,471043900
9.16,0,0.5576308588,0.4646923823,0.4646923823,0.4646923823,0.4646923823,0,0,0,0,6.665475257,51.58254152,50.78486158,471558700
9.17,0,0.5574926062,0.4645771718,0.4645771718,0.4645771718,0.4645771718,0,0,0,0,6.662234331,51.57294255,50.77695366,472073500
9.18,0,0.5573547212,0.4644622677,0.4644622677,0.4644622677,0.4644622677,0,0,0,0,6.658999325,51.56335082,50.76905376,472588300
9.19,0,0.557217166,0.4643476383,0.4643476383,0.4643476383,0.4643476383,0,0,0,0,6.655772067,51.55377562,50.76116937,473103100
9.2,0,0.5570799517,0.4642332931,0.4642332931,0.4642332931,0.4642332931,0,0,0,0,6.652549531,51.54419825,50.75328548,473617900
9.21,0,0.5569430925,0.4641192437,0.4641192437,0.4641192437,0.4641192437,0,0,0,0,6.649333749,51.53463494,50.74541504,474132700
9.22,0,0.5568065718,0.4640054765,0.4640054765,0.4640054765,0.4640054765,0,0,0,0,6.646126028,51.52508985,50.73756147,474647600
9.23,0,0.5566703916,0.463891993,0.463891993,0.463891993,0.463891993,0,0,0,0,6.642922681,51.51554159,50.72970757,475162300
9.24,0,0.5565345619,0.4637788015,0.4637788015,0.4637788015,0.4637788015,0,0,0,0,6.6397264,51.50601249,50.72187112,475677100
9.25,0,0.5563990591,0.4636658826,0.4636658826,0.4636658826,0.4636658826,0,0,0,0,6.636535606,51.49648324,50.71403684,476191900
9.26,0,0.5562638924,0.4635532437,0.4635532437,0.4635532437,0.4635532437,0,0,0,0,6.63335178,51.48697017,50.70621767,476706800
9.27,0,0.5561290625,0.4634408854,0.4634408854,0.4634408854,0.4634408854,0,0,0,0,6.630173771,51.47746659,50.69840823,477221600
9.28,0,0.5559945704,0.4633288087,0.4633288087,0.4633288087,0.4633288087,0,0,0,0,6.627002436,51.46796679,50.69060416,477736300
9.29,0,0.5558604234,0.4632170195,0.4632170195,0.4632170195,0.4632170195,0,0,0,0,6.623836832,51.4584812,50.6828135,478251100
9.3,0,0.5557265988,0.463105499,0.463105499,0.463105499,0.463105499,0,0,0,0,6.620676926,51.44899666,50.67502594,478766000
9.31,0,0.555593109,0.4629942575,0.4629942575,0.4629942575,0.4629942575,0,0,0,0,6.617523644,51.43953061,50.66725524,479280800
9.32,0,0.5554599513,0.4628832927,0.4628832927,0.4628832927,0.4628832927,0,0,0,0,6.614377461,51.43007606,50.65949598,479795500
9.33,0,0.5553271273,0.4627726061,0.4627726061,0.4627726061,0.4627726061,0,0,0,0,6.611236745,51.42062658,50.65174292,480310300
9.34,0,0.5551946095,0.4626621746,0.4626621746,0.4626621746,0.4626621746,0,0,0,0,6.608101546,51.41118366,50.64399725,480825200
9.35,0,0.5550624343,0.4625520286,0.4625520286,0.4625520286,0.4625520286,0,0,0,0,6.604973414,51.40175937,50.63626856,481340000
9.36,0,0.5549306015,0.4624421679,0.4624421679,0.4624421679,0.4624421679,0,0,0,0,6.601850817,51.39233747,50.62854399,481854700
9.37,0,0.554799075,0.4623325625,0.4623325625,0.4623325625,0.4623325625,0,0,0,0,6.598733998,51.38291695,50.62082278,482369500
9.38,0,0.5546678757,0.4622232298,0.4622232298,0.4622232298,0.4622232298,0,0,0,0,6.595623733,51.37352075,50.61312292,482884400
9.39,0,0.5545370046,0.4621141705,0.4621141705,0.4621141705,0.4621141705,0,0,0,0,6.592519239,51.36413021,50.60542975,483399200
9.4,0,0.5544064507,0.4620053756,0.4620053756,0.4620053756,0.4620053756,0,0,0,0,6.589420399,51.3547426,50.59774111,483914000
9.41,0,0.5542762216,0.4618968513,0.4618968513,0.4618968513,0.4618968513,0,0,0,0,6.586328171,51.3453667,50.59006398,484428800
9.42,0,0.5541463071,0.4617885892,0.4617885892,0.4617885892,0.4617885892,0,0,0,0,6.583241928,51.33600094,50.58239705,484943600
9.43,0,0.5540167173,0.4616805977,0.4616805977,0.4616805977,0.4616805977,0,0,0,0,6.580161996,51.32665146,50.57474514,485458400
9.44,0,0.5538874408,0.4615728674,0.4615728674,0.4615728674,0.4615728674,0,0,0,0,6.57708694,51.31730023,50.56709401,485973200
9.45,0,0.5537584869,0.4614654057,0.4614654057,0.4614654057,0.4614654057,0,0,0,0,6.574018492,51.30796814,50.55946017,486488000
