750150,129.21,336.56,5.874080131,10.06,0.1755801228,-3.06,-0.05340707511,0.43,-0.07,3.44,10.45,-2.41,29.77,165.63,-87.97,115.83,0
750173,133.68,336.56,5.874080131,10.06,0.1755801228,-3.06,-0.05340707511,0.43,-0.07,3.44,9.77,-3.08,29.78,165.63,-87.97,115.83,0
750195,138.38,336.56,5.874080131,10.06,0.1755801228,-3.06,-0.05340707511,0.43,-0.07,3.44,8.76,-4.14,29.79,165.63,-87.97,115.83,0
750229,147.99,316.06,5.516287634,11.56,0.2017600615,-0.69,-0.01204277184,0.15,-0.13,3.89,6.67,-5.2,29.8,87.35,-247.29,160.92,0
750252,152.9,316.06,5.516287634,11.56,0.2017600615,-0.69,-0.01204277184,0.15,-0.13,3.89,5.68,-5.18,29.81,87.35,-247.29,160.92,0
750274,158,316.06,5.516287634,11.56,0.2017600615,-0.69,-0.01204277184,0.15,-0.13,3.89,4.86,-4.49,29.81,87.35,-247.29,160.92,0
750296,163.09,316.06,5.516287634,11.56,0.2017600615,-0.69,-0.01204277184,0.15,-0.13,3.89,4.45,-3.4,29.82,87.35,-247.29,160.92,0
750332,173.63,293.56,5.123588552,10.69,0.186575697,3.06,0.05340707511,0.15,0.2,4.14,4.46,-0.77,29.82,12.97,-110.32,167.18,0
750354,179.07,293.56,5.123588552,10.69,0.186575697,3.06,0.05340707511,0.15,0.2,4.14,4.91,0.48,29.81,12.97,-110.32,167.18,0
750376,184.5,293.56,5.123588552,10.69,0.186575697,3.06,0.05340707511,0.15,0.2,4.14,5.67,1.21,29.81,12.97,-110.32,167.18,0
750410,195.7,293.56,5.123588552,10.69,0.186575697,3.06,0.05340707511,0.15,0.2,4.14,6.57,1.83,29.8,12.97,-110.32,167.18,0
750432,201.48,269.75,4.708025657,7.81,0.1363102146,5.06,0.08831366015,0.45,0.13,4.38,8.35,2.16,29.78,166.23,-5.97,197.68,0
750454,207.26,269.75,4.708025657,7.81,0.1363102146,5.06,0.08831366015,0.45,0.13,4.38,8.86,1.69,29.76,166.23,-5.97,197.68,0
750476,213.24,269.75,4.708025657,7.81,0.1363102146,5.06,0.08831366015,0.45,0.13,4.38,9.15,1.12,29.75,166.23,-5.97,197.68,0
750512,225.44,269.75,4.708025657,7.81,0.1363102146,5.06,0.08831366015,0.45,0.13,4.38,9.36,0.3,29.74,166.23,-5.97,197.68,0
750538,231.65,244.5,4.267330021,5.25,0.09162978573,5.25,0.09162978573,0.45,0,4.65,8.89,-1.8,29.72,184.19,-150.18,189.24,0
750572,244.54,244.5,4.267330021,5.25,0.09162978573,5.25,0.09162978573,0.45,0,4.65,7.74,-3.19,29.7,184.19,-150.18,189.24,0
750594,251.21,244.5,4.267330021,5.25,0.09162978573,5.25,0.09162978573,0.45,0,4.65,6.8,-3.57,29.69,184.19,-150.18,189.24,0
750616,257.89,244.5,4.267330021,5.25,0.09162978573,5.25,0.09162978573,0.45,0,4.65,5.6,-3.39,29.69,184.19,-150.18,189.24,0
750649,271.69,217.75,3.800454446,2.62,0.0457276264,5.12,0.0893608577,0.29,0.15,4.93,4.75,-3.17,29.68,36.72,-271.05,242.66,0
750671,278.79,217.75,3.800454446,2.62,0.0457276264,5.12,0.0893608577,0.29,0.15,4.93,4.34,-2.11,29.67,36.72,-271.05,242.66,0
750693,285.9,217.75,3.800454446,2.62,0.0457276264,5.12,0.0893608577,0.29,0.15,4.93,4.78,-1.41,29.66,36.72,-271.05,242.66,0
750715,293.21,217.75,3.800454446,2.62,0.0457276264,5.12,0.0893608577,0.29,0.15,4.93,5.77,-1,29.66,36.72,-271.05,242.66,0
750737,300.53,189.81,3.312809453,-0.88,-0.01535889742,3.69,0.0644026494,0.41,0.21,5.14,6.73,-0.79,29.65,137.81,-172.08,258.91,0
750771,315.6,189.81,3.312809453,-0.88,-0.01535889742,3.69,0.0644026494,0.41,0.21,5.14,7.62,-1.04,29.64,137.81,-172.08,258.91,0
750793,323.38,189.81,3.312809453,-0.88,-0.01535889742,3.69,0.0644026494,0.41,0.21,5.14,7.43,-1.84,27.6,137.81,-172.08,258.91,0
750815,331.16,189.81,3.312809453,-0.88,-0.01535889742,3.69,0.0644026494,0.41,0.21,5.14,6.74,-2.65,23.13,137.81,-172.08,258.91,0
750849,347.27,160.5,2.801253449,-2.75,-0.04799655443,0,0,0.48,0.12,5.39,4.27,-4.33,9.89,-63.93,244.16,314.53,0
750871,355.63,160.5,2.801253449,-2.75,-0.04799655443,0,0,0.48,0.12,5.39,2.94,-4.88,1.58,-63.93,244.16,314.53,0
750893,364,160.5,2.801253449,-2.75,-0.04799655443,0,0,0.48,0.12,5.39,1.97,-4.76,-5.6,-63.93,244.16,314.53,0
750915,372.73,160.5,2.801253449,-2.75,-0.04799655443,0,0,0.48,0.12,5.39,1.24,-4.55,-10.43,-63.93,244.16,314.53,0
750937,390.56,129.81,2.265611902,-2.31,-0.04031710572,-3.62,-0.06318091892,0.4,0.16,5.64,0.78,-4.34,-13.95,31.03,50.76,316.17,0
750970,409.12,129.81,2.265611902,-2.31,-0.04031710572,-3.62,-0.06318091892,0.4,0.16,5.64,0.15,-3.75,-16.8,31.03,50.76,316.17,0
750992,418.57,129.81,2.265611902,-2.31,-0.04031710572,-3.62,-0.06318091892,0.4,0.16,5.64,-0.1,-3.92,-16.89,31.03,50.76,316.17,0
