#time,alt,vx,vy,vz,wx,wy,wz,thetax,thetay,thetaz,windx,windy,u
4.1,3286.81,466.616,5.36672,2.84002,0,-0.00407234,-0.0630412,-0.000128232,0.0060139,0.125968,3.19585,30.2837,0
4.15,3309.86,464.296,7.06827,2.73056,0,-0.00452024,-0.066023,-0.000147299,0.00579854,0.12274,1.20724,32.8583,0
4.2,3332.8,461.975,8.81987,2.61373,0,-0.00478461,-0.0684606,-0.00016641,0.0055653,0.119377,-0.180014,30.9075,0
4.25,3355.63,459.655,10.6126,2.49354,0,-0.00489284,-0.0707478,-0.000185362,0.00532268,0.115896,-1.49278,31.8111,0
4.3,3378.34,457.334,12.446,2.36603,0,-0.00550155,-0.0732023,-0.00020406,0.00506198,0.112296,3.33035,34.868,0
4.35,3400.93,455.012,14.3101,2.2336,0,-0.0054237,-0.074677,-0.00022227,0.00478804,0.108598,-3.13937,29.8672,0
4.4,3423.42,452.689,16.1953,2.10484,0,-0.00527317,-0.0763462,-0.000239843,0.00451973,0.104821,-3.75645,33.2973,0
4.45,3445.79,450.364,18.0955,1.97772,0,-0.00536552,-0.0773202,-0.000256698,0.00425272,0.100978,-0.800203,30.1671,0
4.5,3468.04,448.036,19.9947,1.84977,0,-0.00543672,-0.0776015,-0.000272649,0.00398142,0.097104,0.0657844,26.8481,0
4.55,3490.18,445.709,21.8893,1.72408,0,-0.00527148,-0.0782817,-0.000287641,0.00371272,0.0932059,-4.38142,31.8128,0
4.6,3512.22,443.381,23.7838,1.60051,0,-0.00533133,-0.0789597,-0.000301717,0.00344641,0.0892738,-0.675373,33.9103,0
4.65,3534.13,441.051,25.6728,1.47626,0,-0.0054197,-0.0791925,-0.000314813,0.00317612,0.0853191,1.27629,32.1176,0
4.7,3555.94,438.719,27.5455,1.35204,0,-0.00544352,-0.0788873,-0.00032683,0.00290344,0.0813662,-1.64873,30.3266,0
4.75,3577.64,436.388,29.3973,1.22839,0,-0.00546619,-0.0786947,-0.000337732,0.00262956,0.0774257,-1.75177,33.0426,0
4.8,3599.22,434.053,31.2289,1.10495,0,-0.0055212,-0.0784691,-0.000347525,0.00235369,0.0734958,0.718682,22.8443,0
4.85,3620.7,431.719,33.0448,0.981889,0,-0.00552535,-0.0786729,-0.000356228,0.00207614,0.0695664,-1.13066,27.7723,0
4.9,3642.06,429.385,34.8497,0.863635,0,-0.00521523,-0.0789271,-0.000363872,0.00180716,0.0656268,1.24099,32.1535,0
4.95,3663.31,427.051,36.6417,0.751219,0,-0.00503614,-0.0789263,-0.000370491,0.00154936,0.0616808,3.80748,35.8553,0
5,3684.46,424.715,38.4192,0.64313,0,-0.0049252,-0.0790018,-0.000376113,0.00129935,0.0577325,3.34244,34.6908,0
5.05,3705.49,422.378,40.1685,0.533904,0,-0.00521484,-0.0776955,-0.000380711,0.00104439,0.0538143,3.01591,23.1307,0
5.1,3726.42,420.043,41.8822,0.42477,0,-0.00500678,-0.0770884,-0.000384253,0.000787195,0.049944,-4.08235,30.5365,0
5.15,3747.24,417.709,43.5609,0.318853,0,-0.00500769,-0.0758019,-0.000386782,0.000535325,0.046121,-0.348666,26.4474,0
5.2,3767.95,415.378,45.1996,0.212944,0,-0.00510141,-0.0746974,-0.000388321,0.000281133,0.0423578,1.00983,29.5335,0
5.25,3788.55,413.049,46.7939,0.108431,0,-0.00496852,-0.0729239,-0.000388891,2.7897e-05,0.0386665,-1.67305,25.699,0
5.3,3809.04,410.726,48.3367,0.00558196,0,-0.00503539,-0.0711105,-0.000388541,-0.000223631,0.035065,0.718038,26.8568,0
5.35,3829.42,408.408,49.8331,-0.0971673,0,-0.00505522,-0.0697587,-0.000387309,-0.000477294,0.0315427,0.308244,32.0763,0
5.4,3849.7,406.094,51.2827,-0.204604,0,-0.00559173,-0.0678747,-0.000385216,-0.000744795,0.0281012,6.20471,29.3522,0
5.45,3869.87,403.785,52.6724,-0.311795,0,-0.00513877,-0.0651603,-0.000382286,-0.00101439,0.0247748,-4.45237,23.7094,0
5.5,3889.94,401.486,53.991,-0.415967,0,-0.00539158,-0.0620837,-0.000378645,-0.0012789,0.0215932,2.95565,21.8933,0
5.55,3909.9,399.197,55.2386,-0.518604,0,-0.00509128,-0.0593036,-0.000374363,-0.00154216,0.0185581,-2.66554,25.5362,0
5.6,3929.75,396.918,56.4261,-0.61458,0,-0.00482333,-0.0572204,-0.000369506,-0.00179116,0.0156445,-2.42176,32.5186,0
5.65,3949.49,394.648,57.5605,-0.706575,0,-0.00478455,-0.0550818,-0.000364139,-0.00203242,0.0128365,0.238552,33.0969,0
5.7,3969.14,392.387,58.6372,-0.796164,0,-0.00467343,-0.0524402,-0.000358357,-0.00226988,0.010148,-0.426601,29.8571,0
5.75,3988.67,390.137,59.6507,-0.887532,0,-0.00505714,-0.0496813,-0.000352257,-0.00251408,0.00759465,4.92526,29.8569,0
5.8,4008.1,387.898,60.5971,-0.978664,0,-0.00475035,-0.0465316,-0.000345913,-0.00276015,0.005189,-2.24949,27.3565,0
5.85,4027.43,385.672,61.4735,-1.06421,0,-0.00457555,-0.0433865,-0.000339446,-0.0029941,0.00294075,-0.795534,28.1764,0
5.9,4046.65,383.46,62.2785,-1.14348,0,-0.00418986,-0.0399886,-0.000332975,-0.00321397,0.000856105,-2.87597,26.7366,0
5.95,4065.77,381.262,63.0035,-1.21486,0,-0.00383627,-0.0358201,-0.000326693,-0.00341528,-0.00103932,-2.37572,20.6526,0
6,4084.79,379.082,63.6488,-1.2804,0,-0.00365332,-0.0323593,-0.000320712,-0.00360309,-0.00274401,-0.644524,27.3614,0
6.05,4103.7,376.917,64.2162,-1.34307,0,-0.00360607,-0.0282378,-0.000315118,-0.00378509,-0.00425908,0.838375,22.0101,0
6.1,4122.5,374.771,64.7069,-1.40381,0,-0.00352086,-0.024792,-0.000309983,-0.0039637,-0.00558495,0.49067,28.3793,0
6.15,4141.21,372.64,65.1312,-1.46122,0,-0.00332145,-0.0216585,-0.000305282,-0.00413513,-0.00674632,-0.682134,31.5261,0
6.2,4159.81,370.525,65.4914,-1.51677,0,-0.00338672,-0.0183361,-0.000301065,-0.00430316,-0.00774626,2.1908,30.1023,0
6.25,4178.31,368.425,65.7852,-1.57139,0,-0.00328964,-0.01486,-0.000297427,-0.00447034,-0.0085762,0.528516,28.9273,0
6.3,4196.71,366.341,66.0024,-1.62223,0,-0.00304341,-0.0103067,-0.000294567,-0.00462887,-0.00920535,-0.916738,19.2932,0
6.35,4215.01,364.278,66.1437,-1.67152,0,-0.00317913,-0.00679913,-0.000292557,-0.00478458,-0.00963296,3.09736,28.8401,0
6.4,4233.2,362.232,66.225,-1.71865,0,-0.00287292,-0.00385166,-0.000291264,-0.00493597,-0.00989919,-1.63309,34.039,0
6.45,4251.29,360.2,66.2423,-1.76359,0,-0.00299292,0.000198991,-0.00029081,-0.00508267,-0.00999041,3.00833,23.7323,0
6.5,4269.29,358.186,66.1838,-1.80689,0,-0.00275263,0.00456163,-0.000291427,-0.00522628,-0.00987125,-0.715937,20.6742,0
6.55,4287.18,356.192,66.052,-1.84812,0,-0.00281607,0.00848063,-0.000293157,-0.00536542,-0.00954502,2.50883,24.5533,0
6.6,4304.97,354.215,65.8538,-1.88735,0,-0.00258642,0.0121819,-0.000295967,-0.00550035,-0.00902827,-0.582788,26.3117,0
6.65,4322.66,352.255,65.5942,-1.92645,0,-0.00285217,0.0156621,-0.000299845,-0.00563612,-0.00833196,4.79245,28.0633,0
6.7,4340.25,350.311,65.2674,-1.96697,0,-0.0028058,0.0201303,-0.000304956,-0.00577732,-0.00743687,1.46325,18.2309,0
6.75,4357.74,348.386,64.8755,-2.00331,0,-0.00243301,0.0235026,-0.000311334,-0.00590796,-0.00634577,-2.07687,28.2381,0
