Mach number (​),Reynolds number (​),Thrust (N),Fd,Cd,Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
0.541,2.904E+07,0,162.714,0.631,0.631,0.313,0.16,0.158
0.538,2.884E+07,0,160.476,0.63,0.63,0.313,0.159,0.158
0.535,2.864E+07,0,158.276,0.63,0.63,0.313,0.159,0.157
0.532,2.845E+07,0,156.11,0.629,0.629,0.313,0.159,0.157
0.529,2.826E+07,0,153.979,0.629,0.629,0.314,0.159,0.156
0.526,2.807E+07,0,151.882,0.628,0.628,0.314,0.159,0.156
0.523,2.788E+07,0,149.819,0.628,0.628,0.314,0.159,0.155
0.519,2.77E+07,0,147.788,0.627,0.627,0.314,0.158,0.155
0.516,2.751E+07,0,145.79,0.627,0.627,0.314,0.158,0.155
0.513,2.733E+07,0,143.822,0.626,0.626,0.314,0.158,0.154
0.51,2.715E+07,0,141.884,0.626,0.626,0.314,0.158,0.154
0.507,2.697E+07,0,139.976,0.625,0.625,0.314,0.158,0.153
0.504,2.679E+07,0,138.098,0.625,0.625,0.314,0.158,0.153
0.501,2.661E+07,0,136.246,0.625,0.625,0.314,0.157,0.153
0.499,2.644E+07,0,134.424,0.624,0.624,0.315,0.157,0.152
0.496,2.626E+07,0,132.63,0.624,0.624,0.315,0.157,0.152
0.493,2.609E+07,0,130.862,0.623,0.623,0.315,0.157,0.152
0.49,2.592E+07,0,129.121,0.623,0.623,0.315,0.157,0.151
0.487,2.575E+07,0,127.405,0.622,0.622,0.315,0.157,0.151
0.484,2.558E+07,0,125.715,0.622,0.622,0.315,0.156,0.15
0.481,2.541E+07,0,124.049,0.622,0.622,0.315,0.156,0.15
0.479,2.524E+07,0,122.409,0.621,0.621,0.315,0.156,0.15
0.476,2.508E+07,0,120.792,0.621,0.621,0.315,0.156,0.149
0.473,2.491E+07,0,119.198,0.62,0.62,0.315,0.156,0.149
0.47,2.475E+07,0,117.627,0.62,0.62,0.315,0.156,0.149
0.468,2.459E+07,0,116.08,0.62,0.62,0.316,0.156,0.148
0.465,2.443E+07,0,114.553,0.619,0.619,0.316,0.155,0.148
0.462,2.427E+07,0,113.049,0.619,0.619,0.316,0.155,0.148
0.459,2.411E+07,0,111.566,0.618,0.618,0.316,0.155,0.147
0.457,2.395E+07,0,110.104,0.618,0.618,0.316,0.155,0.147
0.454,2.38E+07,0,108.662,0.618,0.618,0.316,0.155,0.147
0.452,2.364E+07,0,107.241,0.617,0.617,0.316,0.155,0.147
0.449,2.349E+07,0,105.839,0.617,0.617,0.316,0.155,0.146
0.446,2.333E+07,0,104.458,0.617,0.617,0.316,0.154,0.146
0.444,2.318E+07,0,103.094,0.616,0.616,0.316,0.154,0.146
0.441,2.303E+07,0,101.75,0.616,0.616,0.316,0.154,0.145
0.439,2.288E+07,0,100.423,0.615,0.615,0.316,0.154,0.145
0.436,2.273E+07,0,99.116,0.615,0.615,0.316,0.154,0.145
0.433,2.259E+07,0,97.826,0.615,0.615,0.317,0.154,0.144
0.431,2.244E+07,0,96.553,0.614,0.614,0.317,0.154,0.144
0.428,2.229E+07,0,95.299,0.614,0.614,0.317,0.154,0.144
0.426,2.215E+07,0,94.063,0.614,0.614,0.317,0.154,0.144
0.423,2.201E+07,0,92.845,0.614,0.614,0.317,0.153,0.143
0.421,2.187E+07,0,91.642,0.613,0.613,0.317,0.153,0.143
0.419,2.173E+07,0,90.455,0.613,0.613,0.317,0.153,0.143
0.416,2.159E+07,0,89.285,0.613,0.613,0.317,0.153,0.143
0.414,2.145E+07,0,88.129,0.612,0.612,0.317,0.153,0.142
0.411,2.131E+07,0,86.988,0.612,0.612,0.317,0.153,0.142
0.409,2.117E+07,0,85.863,0.612,0.612,0.317,0.153,0.142
0.407,2.103E+07,0,84.751,0.611,0.611,0.317,0.153,0.141
0.404,2.09E+07,0,83.654,0.611,0.611,0.317,0.153,0.141
0.402,2.076E+07,0,82.571,0.611,0.611,0.317,0.152,0.141
0.399,2.063E+07,0,81.502,0.61,0.61,0.317,0.152,0.141
0.397,2.05E+07,0,80.446,0.61,0.61,0.317,0.152,0.14
0.395,2.036E+07,0,79.404,0.61,0.61,0.318,0.152,0.14
0.392,2.023E+07,0,78.376,0.61,0.61,0.318,0.152,0.14
0.39,2.01E+07,0,77.36,0.609,0.609,0.318,0.152,0.14
0.388,1.997E+07,0,76.357,0.609,0.609,0.318,0.152,0.14
0.386,1.984E+07,0,75.366,0.609,0.609,0.318,0.152,0.139
0.383,1.971E+07,0,74.388,0.609,0.609,0.318,0.152,0.139
0.381,1.958E+07,0,73.423,0.608,0.608,0.318,0.152,0.139
0.379,1.946E+07,0,72.468,0.608,0.608,0.318,0.151,0.139
0.376,1.933E+07,0,71.527,0.608,0.608,0.318,0.151,0.138
